epoch,avg_dice
2,0.8750
3,0.8998
4,0.9118
5,0.9198
6,0.9216
7,0.9136
8,0.9266
9,0.9289
10,0.9250
11,0.9282
12,0.9342
13,0.9343
14,0.9291
15,0.9346
16,0.9363
17,0.9330
