epoch,avg_dice
2,0.9035
3,0.8842
4,0.9026
5,0.9094
6,0.9218
7,0.9222
8,0.9289
9,0.9262
10,0.9325
11,0.9357
12,0.9355
13,0.9344
14,0.9016
15,0.9364
16,0.9356
17,0.9387
