epoch,avg_dice
2,0.8925
3,0.8972
4,0.9111
5,0.9213
6,0.9187
7,0.9250
8,0.9217
9,0.9277
10,0.9318
11,0.9325
12,0.9337
13,0.9330
14,0.9348
15,0.9291
16,0.9319
17,0.9065
18,0.9303
19,0.9326
20,0.9343
21,0.9390
22,0.9393
23,0.9415
24,0.9375
25,0.9327
26,0.9396
27,0.9393
28,0.9378
29,0.9405
30,0.9359
31,0.9367
32,0.9315
33,0.9304
34,0.9294
35,0.9304
36,0.9200
37,0.9208
38,0.9179
39,0.9295
